Brand_ID,Brand_Name,Country,Year,Sustainability_Rating,Material_Type,Eco_Friendly_Manufacturing,Waste_Production_KG,Recycling_Programs,Product_Lines,Average_Price_USD,Market_Trend,Certifications,Carbon_Footprint_KG,Water_Usage_KG,Recycling_Programs_Encoded
BRAND-0023,Brand_23,India,2020,0.5428721962392259,Organic Cotton,Yes,66186.01,No,17,233.59,Stable,GOTS,323830.0,1166563.37,2
BRAND-0024,Brand_24,China,2020,0.6061574230493404,Recycled Polyester,Yes,53391.1,Yes,19,456.74,Stable,GOTS,240910.0,4088887.9,1
BRAND-0025,Brand_25,Brazil,2020,0.7260937645945946,Recycled Polyester,No,98686.02,Yes,10,327.07,Growing,B Corp,411260.0,3981108.89,1
BRAND-0026,Brand_26,China,2018,0.6357858369303379,Organic Cotton,No,40469.98,No,12,482.21,Growing,GOTS,234310.0,2678432.31,2
BRAND-0027,Brand_27,Brazil,2020,0.168438991831268,Vegan Leather,Yes,8540.04,Yes,12,105.88,Declining,OEKO-TEX,181280.0,1471160.32,1
BRAND-0028,Brand_28,Brazil,2017,0.6902135658505715,Organic Cotton,Yes,68343.61,No,19,433.18,Declining,OEKO-TEX,72780.0,4564734.97,2
BRAND-0029,Brand_29,Japan,2021,0.17934507470312785,Tencel,No,11022.95,No,13,98.05,Growing,B Corp,60140.0,404782.57,2
BRAND-0030,Brand_30,France,2014,0.19676509335714434,Hemp,No,13839.54,Yes,16,64.22,Declining,GOTS,184090.0,2206445.72,1
BRAND-0031,Brand_31,USA,2015,0.44108767377510927,Hemp,Yes,71921.1,Yes,15,167.04,Stable,GOTS,189840.0,3274778.79,1
BRAND-0032,Brand_32,Italy,2016,0.13132234807923185,Bamboo Fabric,Yes,23052.1,Yes,1,20.72,Declining,B Corp,157860.0,1103107.94,1
BRAND-0033,Brand_33,USA,2010,0.6874338405393625,Tencel,Yes,57197.09,No,3,470.32,Declining,OEKO-TEX,148280.0,3912838.88,2
BRAND-0034,Brand_34,UK,2020,0.624461370461604,Vegan Leather,Yes,78206.66,No,13,203.24,Declining,Fair Trade,356240.0,2261695.47,2
BRAND-0035,Brand_35,France,2021,0.48485800670968127,Recycled Polyester,Yes,33864.19,Yes,1,459.71,Growing,Fair Trade,292760.0,1978759.25,1
BRAND-0036,Brand_36,Brazil,2016,0.6389469702510036,Vegan Leather,No,84480.28,No,14,127.04,Declining,GOTS,485950.0,1745500.04,2
BRAND-0037,Brand_37,USA,2012,0.6263330589519137,Recycled Polyester,No,30367.21,No,7,290.58,Stable,Fair Trade,480240.0,2518993.55,2
BRAND-0038,Brand_38,Australia,2022,0.6619685356350591,Recycled Polyester,Yes,63309.79,No,9,218.25,Growing,Fair Trade,255320.0,4642986.14,2
BRAND-0039,Brand_39,USA,2024,0.82889755550902,Hemp,No,93815.42,No,19,196.25,Declining,B Corp,478340.0,4592843.93,2
BRAND-0040,Brand_40,Germany,2021,0.4575683620319445,Organic Cotton,No,11371.3,No,2,114.27,Declining,Fair Trade,418250.0,2416857.95,2
BRAND-0041,Brand_41,UK,2014,0.5871772453360561,Tencel,No,41009.2,No,18,402.16,Stable,GOTS,124810.0,3578456.07,2
BRAND-0042,Brand_42,USA,2016,0.5863163200561475,Hemp,Yes,88617.25,Yes,3,376.93,Declining,GOTS,295570.0,2208679.26,1
BRAND-0043,Brand_43,Italy,2011,0.7152402198233971,Tencel,Yes,53420.11,No,16,378.95,Growing,GOTS,455620.0,2546933.55,2
BRAND-0044,Brand_44,Italy,2017,0.6265538666828406,Vegan Leather,Yes,40551.74,No,18,99.02,Stable,OEKO-TEX,434370.0,4485908.7,2
BRAND-0045,Brand_45,Italy,2013,0.6814012501198098,Recycled Polyester,Yes,85154.11,Yes,20,369.89,Growing,Fair Trade,315390.0,4238166.74,1
BRAND-0046,Brand_46,Japan,2024,0.5421265038532588,Tencel,Yes,80999.76,No,6,109.46,Stable,B Corp,202430.0,2935889.82,2
BRAND-0047,Brand_47,UK,2015,0.1966714599179997,Tencel,No,9625.24,Yes,4,115.71,Stable,GOTS,363800.0,66938.2,1
BRAND-0048,Brand_48,India,2011,0.31487836731256014,Organic Cotton,No,5349.83,Yes,16,72.76,Growing,GOTS,382400.0,3007645.93,1
BRAND-0049,Brand_49,India,2016,0.42214848148226447,Hemp,No,76891.7,Yes,11,101.85,Stable,OEKO-TEX,288000.0,2328411.6,1
BRAND-0050,Brand_50,India,2014,0.3615559446754255,Bamboo Fabric,Yes,67206.93,Yes,9,29.63,Declining,GOTS,38250.0,4816032.53,1
BRAND-0051,Brand_51,Brazil,2019,0.4543280055256357,Vegan Leather,Yes,74281.13,Yes,16,253.18,Declining,GOTS,19120.0,4247729.83,1
BRAND-0052,Brand_52,France,2023,0.727159499438912,Tencel,No,33956.03,No,20,400.62,Declining,B Corp,465370.0,3438997.67,2
BRAND-0053,Brand_53,Australia,2019,0.46265876969331365,Hemp,No,64445.97,Yes,8,478.28,Growing,GOTS,30600.0,2436109.9,1
BRAND-0054,Brand_54,France,2012,0.4854892008280157,Bamboo Fabric,Yes,24497.25,No,7,256.73,Declining,GOTS,368140.0,1356637.77,2
BRAND-0055,Brand_55,UK,2016,0.2688202033061924,Vegan Leather,No,4671.87,Yes,20,301.97,Growing,OEKO-TEX,58320.0,2938317.57,1
BRAND-0056,Brand_56,India,2012,0.4550716654339704,Tencel,Yes,9311.63,No,7,123.3,Declining,B Corp,317440.0,3386658.66,2
BRAND-0057,Brand_57,Brazil,2010,0.6388460726026599,Tencel,Yes,49153.08,No,16,493.69,Declining,GOTS,63210.0,3910771.5,2
BRAND-0058,Brand_58,Germany,2022,0.29422928471651244,Vegan Leather,Yes,81487.65,Yes,4,237.95,Stable,OEKO-TEX,83240.0,65384.37,1
BRAND-0059,Brand_59,UK,2021,0.32923503791151465,Vegan Leather,Yes,24814.84,Yes,1,175.79,Growing,Fair Trade,168320.0,3411667.16,1
BRAND-0060,Brand_60,Brazil,2012,0.12942932687611,Recycled Polyester,Yes,13866.46,Yes,6,28.54,Declining,GOTS,134290.0,1675918.75,1
BRAND-0061,Brand_61,Germany,2019,0.5829351563569659,Bamboo Fabric,No,98388.45,Yes,6,485.58,Growing,Fair Trade,176940.0,1706304.02,1
BRAND-0062,Brand_62,USA,2024,0.4798051957073187,Recycled Polyester,Yes,91860.83,Yes,16,82.54,Stable,Fair Trade,459570.0,1262304.83,1
BRAND-0063,Brand_63,Germany,2021,0.411800917000274,Recycled Polyester,Yes,14502.18,Yes,3,261.24,Declining,B Corp,317480.0,3250619.98,1
BRAND-0064,Brand_64,Japan,2022,0.6079006924032505,Recycled Polyester,Yes,97895.52,No,13,268.21,Stable,Fair Trade,118120.0,2650618.81,2
BRAND-0065,Brand_65,USA,2024,0.7085694118629957,Recycled Polyester,No,35739.14,No,12,467.6,Growing,OEKO-TEX,448750.0,2427744.85,2
BRAND-0066,Brand_66,Italy,2012,0.7041167966119873,Bamboo Fabric,Yes,93177.22,Yes,3,328.96,Declining,B Corp,346210.0,4431517.33,1
BRAND-0067,Brand_67,USA,2013,0.37127463206316025,Bamboo Fabric,No,9542.98,Yes,20,370.54,Growing,GOTS,154050.0,3150639.7,1
BRAND-0068,Brand_68,UK,2018,0.5263317495139567,Hemp,No,97765.16,Yes,17,187.21,Stable,OEKO-TEX,221830.0,3232837.62,1
BRAND-0069,Brand_69,China,2016,0.5783025804158315,Tencel,Yes,22732.05,No,15,326.17,Growing,GOTS,474700.0,1580162.53,2
BRAND-0070,Brand_70,France,2012,0.3956486750774647,Vegan Leather,Yes,89038.36,Yes,6,26.5,Growing,Fair Trade,74320.0,4110376.09,1
BRAND-0071,Brand_71,China,2021,0.35641951357066703,Tencel,Yes,28854.77,Yes,12,183.08,Stable,Fair Trade,394670.0,1424293.75,1
BRAND-0072,Brand_72,India,2013,0.4426867687057989,Vegan Leather,No,69593.07,No,11,194.42,Growing,B Corp,121110.0,1357557.81,2
BRAND-0073,Brand_73,UK,2017,0.518405321788926,Tencel,Yes,7867.05,No,2,459.94,Growing,GOTS,286440.0,1562546.48,2
BRAND-0074,Brand_74,USA,2012,0.4111539211597012,Tencel,Yes,25167.92,No,3,81.26,Growing,GOTS,51550.0,4796819.05,2
BRAND-0075,Brand_75,India,2017,0.515726523297257,Tencel,No,26493.93,No,8,416.51,Growing,OEKO-TEX,204090.0,1863153.5,2
BRAND-0076,Brand_76,China,2016,0.7071778469853595,Recycled Polyester,No,65146.43,No,20,409.91,Declining,GOTS,169630.0,4347329.99,2
BRAND-0077,Brand_77,Australia,2017,0.5597213908633399,Recycled Polyester,No,59379.99,Yes,17,479.21,Declining,GOTS,347090.0,1519014.18,1
BRAND-0078,Brand_78,Italy,2019,0.4373006763079986,Vegan Leather,Yes,30899.97,No,4,359.23,Stable,OEKO-TEX,77710.0,1880107.35,2
BRAND-0079,Brand_79,Japan,2023,0.5130236322658326,Organic Cotton,Yes,27182.05,No,15,216.13,Stable,B Corp,343040.0,2475171.71,2
BRAND-0080,Brand_80,Japan,2023,0.6123231665110451,Vegan Leather,No,78799.16,No,5,240.02,Growing,B Corp,358730.0,1568552.21,2
BRAND-0081,Brand_81,India,2023,0.2344604551068674,Recycled Polyester,No,1761.34,Yes,8,155.15,Declining,GOTS,218100.0,2298435.19,1
BRAND-0082,Brand_82,USA,2022,0.6366120377766843,Vegan Leather,Yes,84504.49,No,7,183.26,Stable,GOTS,331040.0,2664508.93,2
BRAND-0083,Brand_83,Australia,2024,0.4924694825517555,Tencel,Yes,35066.22,No,7,319.43,Stable,OEKO-TEX,204770.0,1962249.61,2
BRAND-0084,Brand_84,Japan,2023,0.3777281473330888,Organic Cotton,Yes,28599.2,Yes,2,225.2,Declining,B Corp,75480.0,4650439.21,1
BRAND-0085,Brand_85,Italy,2011,0.32243491143658976,Recycled Polyester,No,2395.39,No,20,282.44,Growing,OEKO-TEX,44340.0,2044130.86,2
BRAND-0086,Brand_86,UK,2016,0.6346570568417853,Recycled Polyester,No,74339.23,No,4,370.28,Stable,GOTS,199920.0,2488315.29,2
BRAND-0087,Brand_87,Germany,2012,0.41036946094835247,Vegan Leather,Yes,66716.0,Yes,9,132.48,Declining,GOTS,276690.0,2381958.82,1
BRAND-0088,Brand_88,Germany,2012,0.49249808117512917,Vegan Leather,Yes,50000.66,No,17,46.62,Declining,GOTS,291790.0,3203689.5,2
BRAND-0089,Brand_89,Australia,2016,0.8469494232086433,Vegan Leather,Yes,42811.53,No,9,481.61,Growing,OEKO-TEX,475140.0,4548945.26,2
BRAND-0090,Brand_90,Australia,2023,0.6283968978446205,Vegan Leather,No,58440.36,No,1,393.27,Declining,GOTS,152060.0,3389499.28,2
BRAND-0091,Brand_91,Italy,2014,0.5613195015720006,Tencel,No,7912.57,No,20,463.65,Growing,OEKO-TEX,264410.0,2637824.7,2
BRAND-0092,Brand_92,UK,2021,0.5823437077516584,Vegan Leather,No,5824.14,No,8,462.08,Growing,B Corp,364820.0,2186640.3,2
BRAND-0093,Brand_93,Italy,2010,0.6856442259765104,Vegan Leather,Yes,24539.14,No,3,436.23,Declining,B Corp,384950.0,3477669.16,2
BRAND-0094,Brand_94,Germany,2021,0.2879983716148118,Bamboo Fabric,No,59407.19,No,18,95.64,Declining,B Corp,53160.0,357792.7,2
BRAND-0095,Brand_95,Germany,2010,0.5515624460471575,Tencel,Yes,56884.63,No,9,158.43,Declining,Fair Trade,123640.0,4612093.6,2
BRAND-0096,Brand_96,France,2021,0.7597383215930673,Vegan Leather,No,51945.53,No,6,486.69,Declining,GOTS,347560.0,3505851.91,2
BRAND-0097,Brand_97,USA,2022,0.743553047166812,Recycled Polyester,Yes,64472.04,No,17,472.66,Stable,GOTS,479650.0,1363339.6,2
BRAND-0098,Brand_98,France,2014,0.43760271236199355,Tencel,No,98925.73,Yes,9,135.77,Declining,GOTS,186630.0,2218131.45,1
BRAND-0099,Brand_99,China,2014,0.2476023697537358,Organic Cotton,No,53722.85,Yes,1,29.62,Growing,B Corp,252220.0,958875.53,1
BRAND-0100,Brand_100,India,2011,0.6559377233913608,Recycled Polyester,No,27322.55,No,5,135.05,Declining,Fair Trade,481390.0,4906438.37,2
BRAND-0101,Brand_101,Australia,2011,0.5945617111758841,Hemp,Yes,63190.78,No,1,355.31,Growing,GOTS,242610.0,1934618.84,2
BRAND-0102,Brand_102,USA,2013,0.44626878522735025,Recycled Polyester,No,17326.87,Yes,6,173.84,Stable,OEKO-TEX,427130.0,3641910.27,1
BRAND-0103,Brand_103,China,2024,0.13568538674531191,Bamboo Fabric,Yes,18425.04,Yes,3,135.3,Stable,GOTS,47650.0,1331967.52,1
BRAND-0104,Brand_104,China,2020,0.4415756572660171,Tencel,No,33016.78,Yes,18,384.04,Declining,GOTS,302110.0,1817495.16,1
BRAND-0105,Brand_105,Brazil,2011,0.6508178456367498,Hemp,Yes,77538.73,No,14,114.86,Declining,Fair Trade,360090.0,3732137.92,2
BRAND-0106,Brand_106,Germany,2022,0.3991543219473318,Organic Cotton,Yes,12883.33,No,3,481.53,Growing,GOTS,20730.0,1272635.13,2
BRAND-0107,Brand_107,USA,2019,0.517258519047455,Hemp,No,51791.04,Yes,16,470.45,Declining,GOTS,316700.0,1408780.91,1
BRAND-0108,Brand_108,China,2016,0.3894298545016185,Vegan Leather,Yes,61813.16,Yes,12,207.52,Growing,Fair Trade,63550.0,3546692.49,1
BRAND-0109,Brand_109,UK,2015,0.1324403157246374,Vegan Leather,Yes,5549.41,Yes,16,94.71,Declining,GOTS,85000.0,1954874.74,1
BRAND-0110,Brand_110,UK,2023,0.4619055369223567,Vegan Leather,No,70682.62,Yes,15,189.25,Stable,B Corp,409370.0,1329572.99,1
BRAND-0111,Brand_111,Italy,2023,0.38188440315675254,Tencel,No,49206.09,No,12,210.31,Growing,Fair Trade,18340.0,1971538.81,2
BRAND-0112,Brand_112,India,2017,0.4482697074768208,Organic Cotton,No,92679.89,Yes,16,280.13,Declining,GOTS,218650.0,916249.72,1
BRAND-0113,Brand_113,Japan,2015,0.7601620853396749,Organic Cotton,No,95980.3,No,4,477.76,Declining,GOTS,471170.0,173345.1,2
BRAND-0114,Brand_114,France,2011,0.3436184159111967,Vegan Leather,Yes,25997.5,Yes,14,239.04,Stable,GOTS,323130.0,1432621.83,1
BRAND-0115,Brand_115,Brazil,2024,0.6660542907721707,Tencel,Yes,92114.78,Yes,13,142.88,Growing,Fair Trade,419840.0,4900485.4,1
BRAND-0116,Brand_116,China,2023,0.5341901372409579,Vegan Leather,No,59473.38,Yes,6,328.45,Growing,B Corp,279420.0,3242822.34,1
BRAND-0117,Brand_117,Italy,2022,0.3036007508894091,Bamboo Fabric,No,30934.79,No,15,47.61,Growing,GOTS,17890.0,2958385.59,2
BRAND-0118,Brand_118,Italy,2010,0.8136078872037377,Organic Cotton,No,90089.19,No,20,467.22,Declining,GOTS,357990.0,2829885.94,2
BRAND-0119,Brand_119,Germany,2016,0.6904416736472757,Hemp,No,66214.85,No,9,452.99,Growing,Fair Trade,178130.0,3408139.71,2
BRAND-0120,Brand_120,India,2024,0.306389988839766,Bamboo Fabric,No,15054.43,No,3,274.49,Stable,OEKO-TEX,149420.0,105902.81,2
BRAND-0121,Brand_121,Japan,2016,0.4651116074765126,Recycled Polyester,No,41516.78,No,16,145.94,Stable,Fair Trade,233990.0,2595245.48,2
BRAND-0122,Brand_122,Brazil,2011,0.7355264717605882,Hemp,No,62073.72,No,6,475.94,Growing,B Corp,359680.0,2487675.57,2
BRAND-0123,Brand_123,Japan,2015,0.5685967214438891,Hemp,Yes,36497.19,No,16,475.28,Growing,GOTS,261269.99999999997,1276598.09,2
BRAND-0124,Brand_124,USA,2023,0.5532859382661865,Organic Cotton,Yes,1026.38,No,18,478.81,Declining,GOTS,197430.0,3327856.95,2
BRAND-0125,Brand_125,China,2018,0.3159152900661315,Bamboo Fabric,No,70815.72,Yes,19,134.71,Growing,B Corp,12750.0,2839840.43,1
BRAND-0126,Brand_126,France,2018,0.4977174304536912,Tencel,Yes,37791.12,Yes,9,373.04,Stable,OEKO-TEX,291470.0,2972854.6,1
BRAND-0127,Brand_127,UK,2019,0.4698934276721335,Hemp,Yes,29933.59,No,16,423.58,Growing,OEKO-TEX,125390.0,1453757.85,2
BRAND-0128,Brand_128,Brazil,2020,0.4509188108826049,Vegan Leather,Yes,11487.46,No,3,352.8,Growing,OEKO-TEX,147300.0,2497654.23,2
BRAND-0129,Brand_129,Italy,2024,0.7546677443663738,Tencel,Yes,84810.02,No,8,227.1,Declining,GOTS,441400.0,3541423.74,2
BRAND-0130,Brand_130,UK,2019,0.6292403641064762,Organic Cotton,No,55101.57,Yes,16,256.29,Growing,Fair Trade,437360.0,4610075.73,1
BRAND-0131,Brand_131,Germany,2012,0.5253022097739259,Bamboo Fabric,No,47507.88,Yes,18,209.74,Declining,Fair Trade,394710.0,3737612.39,1
BRAND-0132,Brand_132,Germany,2016,0.31925994344522,Recycled Polyester,No,1203.32,No,12,28.53,Stable,Fair Trade,54250.0,4598900.27,2
BRAND-0133,Brand_133,Italy,2015,0.8228566963236055,Hemp,No,75657.34,No,15,269.11,Stable,GOTS,499820.0,4390878.58,2
BRAND-0134,Brand_134,UK,2014,0.42815967885615647,Tencel,Yes,41553.33,No,8,220.25,Declining,Fair Trade,190420.0,1482288.75,2
BRAND-0135,Brand_135,Australia,2010,0.7428992559847749,Hemp,No,84972.17,No,3,29.47,Stable,OEKO-TEX,499890.0,4771068.92,2
BRAND-0136,Brand_136,India,2016,0.22942651462830863,Tencel,No,9798.28,Yes,12,138.36,Stable,B Corp,297740.0,1168392.22,1
BRAND-0137,Brand_137,USA,2016,0.15371236647442313,Hemp,Yes,12358.45,Yes,8,33.0,Declining,GOTS,175320.0,1797871.37,1
BRAND-0138,Brand_138,Australia,2019,0.6223340819966003,Organic Cotton,No,84842.78,No,17,65.82,Stable,B Corp,296750.0,3925788.39,2
BRAND-0139,Brand_139,Australia,2022,0.4788405656014797,Tencel,No,43360.72,Yes,5,328.12,Stable,Fair Trade,305660.0,2630130.72,1
BRAND-0140,Brand_140,Germany,2017,0.5726419008042964,Organic Cotton,Yes,46696.11,No,12,367.96,Growing,OEKO-TEX,95730.0,3643293.99,2
BRAND-0141,Brand_141,Japan,2014,0.729509052629317,Bamboo Fabric,Yes,54824.14,Yes,15,433.47,Growing,Fair Trade,445670.0,4773997.53,1
BRAND-0142,Brand_142,Italy,2019,0.41316423985276995,Hemp,Yes,18359.11,No,17,119.12,Stable,GOTS,275480.0,2528385.2,2
BRAND-0143,Brand_143,India,2022,0.3228859759773889,Bamboo Fabric,No,13320.3,Yes,9,191.73,Declining,GOTS,199170.0,3373982.21,1
BRAND-0144,Brand_144,France,2022,0.729089408264624,Hemp,No,95549.41,No,6,394.27,Declining,Fair Trade,332240.0,1819385.59,2
BRAND-0145,Brand_145,Japan,2014,0.2718565066206098,Bamboo Fabric,Yes,5114.72,Yes,9,309.5,Declining,Fair Trade,15440.0,3331973.79,1
BRAND-0146,Brand_146,Australia,2020,0.669215260574839,Bamboo Fabric,Yes,60704.84,No,20,395.41,Declining,GOTS,164310.0,3982288.22,2
BRAND-0147,Brand_147,China,2010,0.398554524940823,Hemp,Yes,40911.13,Yes,4,309.15,Stable,Fair Trade,374790.0,581419.83,1
BRAND-0148,Brand_148,USA,2015,0.4415843258449076,Tencel,No,63384.21,No,5,264.94,Growing,OEKO-TEX,184920.0,262604.96,2
BRAND-0149,Brand_149,China,2012,0.4510698536264255,Recycled Polyester,No,22978.82,Yes,14,188.02,Stable,GOTS,351170.0,4076142.85,1
BRAND-0150,Brand_150,Italy,2020,0.3022157868313555,Recycled Polyester,No,11357.08,Yes,18,37.66,Growing,OEKO-TEX,309840.0,3542368.46,1
BRAND-0151,Brand_151,India,2023,0.36707686462046085,Hemp,Yes,62932.02,Yes,1,21.52,Growing,B Corp,482800.0,757408.83,1
BRAND-0152,Brand_152,India,2012,0.5998522556838993,Hemp,No,98984.45,No,10,77.27,Growing,OEKO-TEX,243150.0,3172294.5,2
BRAND-0153,Brand_153,UK,2014,0.2698392173007561,Hemp,Yes,45663.62,Yes,15,55.74,Declining,B Corp,1610.0,4070653.06,1
BRAND-0154,Brand_154,Brazil,2013,0.4064444322367863,Tencel,Yes,49890.36,Yes,17,190.94,Growing,GOTS,30670.0,4999380.44,1
BRAND-0155,Brand_155,Australia,2019,0.498548595820946,Organic Cotton,No,24060.1,No,1,131.09,Stable,GOTS,302580.0,3627022.42,2
BRAND-0156,Brand_156,UK,2020,0.4503292931217808,Vegan Leather,No,79534.87,Yes,16,169.93,Stable,GOTS,31910.0,4646796.22,1
BRAND-0157,Brand_157,Japan,2011,0.46440110721963623,Vegan Leather,No,10851.45,No,9,257.12,Stable,OEKO-TEX,58510.0,4706391.87,2
BRAND-0158,Brand_158,Australia,2014,0.6119220189157403,Hemp,Yes,65630.52,Yes,6,391.94,Stable,GOTS,433370.0,2343266.44,1
BRAND-0159,Brand_159,France,2015,0.5523287773811655,Bamboo Fabric,Yes,45242.69,No,6,391.85,Growing,OEKO-TEX,321760.0,768139.01,2
BRAND-0160,Brand_160,Australia,2014,0.5294053374681043,Tencel,No,78175.07,No,6,163.77,Stable,B Corp,72990.0,3543945.17,2
BRAND-0161,Brand_161,Germany,2012,0.5115253159597036,Tencel,Yes,55919.39,Yes,2,302.43,Growing,OEKO-TEX,268110.0,3333587.49,1
BRAND-0162,Brand_162,Italy,2019,0.5692417619847472,Tencel,No,16475.73,Yes,15,404.96,Stable,GOTS,367230.0,4428538.42,1
BRAND-0163,Brand_163,Brazil,2017,0.6191971988386153,Recycled Polyester,Yes,33831.46,Yes,12,335.24,Stable,B Corp,484300.0,4159619.25,1
BRAND-0164,Brand_164,Italy,2011,0.4759181460585835,Recycled Polyester,No,48998.42,Yes,5,488.56,Growing,GOTS,133600.0,2337641.56,1
BRAND-0165,Brand_165,France,2014,0.7618939158029648,Tencel,Yes,90445.27,No,5,260.76,Stable,B Corp,464760.0,2823867.02,2
BRAND-0166,Brand_166,Australia,2011,0.6703009811784979,Recycled Polyester,Yes,80380.67,Yes,13,333.25,Declining,GOTS,356350.0,4216320.08,1
BRAND-0167,Brand_167,USA,2022,0.1457717394748602,Vegan Leather,No,34403.32,Yes,16,63.14,Stable,OEKO-TEX,49090.0,1488899.49,1
BRAND-0168,Brand_168,UK,2011,0.4595634914121155,Hemp,Yes,41246.45,No,7,29.87,Growing,Fair Trade,376080.0,2280369.67,2
BRAND-0169,Brand_169,Australia,2020,0.29184864330605464,Organic Cotton,No,24615.69,Yes,8,42.43,Declining,GOTS,112550.0,4600761.17,1
BRAND-0170,Brand_170,Australia,2014,0.41566495006483517,Recycled Polyester,Yes,30322.01,Yes,15,403.2,Growing,B Corp,194090.0,2297024.64,1
BRAND-0171,Brand_171,Brazil,2014,0.583722637136779,Hemp,No,71771.27,Yes,14,356.61,Growing,GOTS,310240.0,3058443.05,1
BRAND-0172,Brand_172,UK,2020,0.6116145584708104,Hemp,No,72036.31,Yes,10,493.65,Stable,GOTS,69180.0,4615188.71,1
BRAND-0173,Brand_173,France,2023,0.3058567244318352,Vegan Leather,No,6898.77,Yes,15,121.78,Declining,GOTS,171530.0,4349678.82,1
BRAND-0174,Brand_174,Brazil,2014,0.5346272479016246,Tencel,No,71591.58,No,3,92.83,Growing,GOTS,291160.0,2529574.61,2
BRAND-0175,Brand_175,Italy,2015,0.2600230770769073,Bamboo Fabric,No,23062.35,No,20,199.48,Growing,Fair Trade,94760.0,76517.96,2
BRAND-0176,Brand_176,Japan,2013,0.6464274368792591,Organic Cotton,No,45328.91,No,7,379.7,Growing,GOTS,147840.0,4602705.14,2
BRAND-0177,Brand_177,USA,2013,0.46119647702650346,Organic Cotton,No,47502.47,Yes,3,276.06,Growing,GOTS,236500.0,3297390.45,1
BRAND-0178,Brand_178,UK,2022,0.5740818290264232,Hemp,No,72056.77,Yes,20,384.5,Growing,GOTS,274420.0,2911175.45,1
BRAND-0179,Brand_179,France,2016,0.6672742950365598,Hemp,Yes,63581.26,No,8,478.28,Growing,GOTS,229150.0,2277871.36,2
